"minor","major","fatal","MeanDecreaseAccuracy","MeanDecreaseGini","feature"
52.6596610739919,47.1383681449789,95.8059548256941,70.1042801336805,1541.46770590799,"risk_score"
-0.850825783336994,-0.0240330424218135,-1.44362931493356,-1.13245266320853,1013.02379166451,"temperature"
8.30222675672131,-0.221192412827596,6.99077238715149,8.39789342669696,920.084378541696,"hour"
10.5724521648338,2.70718415836429,38.9023253347323,38.7840803467549,694.093416737835,"casualties"
-1.83680490940901,1.23126156114308,1.19900341401777,-0.396730784570362,583.01166218853,"lanes"
40.7739123758946,34.4121996361994,54.1062422416631,47.8945307055973,523.36429386746,"traffic_density"
-0.902319207881406,0.49100451317286,-0.616840368510067,-0.620985593966835,520.964468394196,"cause"
1.8236521221521,0.0441599591554553,29.9903828283679,24.1350919223924,480.22170069263,"vehicles_involved"
-0.601472536735715,-0.139335934153448,0.480390243955598,-0.383561168134823,358.884273938668,"road_type"
25.2363732751142,21.6746447294745,37.9946268425114,30.5542362443497,292.864476146099,"visibility"
18.5928795647001,15.7415855180173,28.884495112566,23.4054493481531,257.026647567742,"weather"
-0.739293789346191,-1.51995078836274,-1.4450119791177,-1.78346383825799,211.03987398547,"traffic_signal"
-1.00929276659864,-0.0245626223277637,0.280241816343892,-0.705116614146451,199.687369718398,"is_weekend"
14.0425063795308,4.97455049534475,15.8722123607976,16.3848049799753,120.759322481423,"is_peak_hour"
2.16610882064114,1.15216591423823,0.683617692800747,2.43534416657032,23.0389951002769,"festival"
